Country,Year,HRSN,CPNK,VALK,GHG
AUS,2010,19614.5 ,2952176.5 ,914377.0 ,537.2 
AUS,2011,19949.9 ,3071779.7 ,951464.7 ,538.5 
AUS,2012,20060.5 ,3192681.1 ,977274.9 ,541.3 
AUS,2013,20181.6 ,3300697.4 ,1003749.5 ,531.3 
AUS,2014,20359.3 ,3391029.7 ,1027981.2 ,525.8 
AUS,2015,20684.5 ,3465641.2 ,1056251.5 ,533.3 
AUT,2010,6827.0 ,1156202.4 ,263633.5 ,85.1 
AUT,2011,6957.5 ,1171900.1 ,272240.3 ,82.7 
AUT,2012,6929.5 ,1187259.8 ,273680.1 ,80.0 
AUT,2013,6887.0 ,1202722.4 ,274071.2 ,80.2 
AUT,2014,6907.7 ,1216785.1 ,276477.1 ,76.4 
AUT,2015,6851.8 ,1230953.7 ,279068.1 ,78.9 
BEL,2010,6916.1 ,1077532.6 ,326533.7 ,132.4 
BEL,2011,7073.4 ,1089213.3 ,333538.5 ,121.8 
BEL,2012,7105.4 ,1100001.9 ,334188.3 ,119.0 
BEL,2013,7073.5 ,1109029.5 ,334735.0 ,119.4 
BEL,2014,7091.6 ,1122557.7 ,339255.5 ,114.1 
BEL,2015,7105.8 ,1137480.9 ,344613.9 ,117.4 
CAN,2010,29437.5 ,2528549.9 ,1138823.9 ,700.8 
CAN,2011,29841.8 ,2607483.4 ,1176378.4 ,707.5 
CAN,2012,30392.9 ,2696009.0 ,1198810.8 ,716.3 
CAN,2013,30709.0 ,2782294.7 ,1229103.2 ,729.2 
CAN,2014,30817.3 ,2869221.5 ,1264433.2 ,727.2 
CAN,2015,31170.1 ,2935735.6 ,1276708.3 ,721.8 
CZE,2010,9100.5 ,683713.4 ,141744.7 ,138.6 
CZE,2011,9106.6 ,694913.0 ,144589.3 ,136.9 
CZE,2012,8995.4 ,706455.8 ,143370.3 ,133.6 
CZE,2013,8957.7 ,716320.6 ,142666.1 ,129.8 
CZE,2014,9077.3 ,727528.0 ,147517.5 ,125.8 
CZE,2015,9100.3 ,737940.6 ,154487.7 ,127.1 
DNK,2010,3965.2 ,771722.2 ,209855.8 ,64.4 
DNK,2011,4004.3 ,763044.7 ,213101.1 ,59.1 
DNK,2012,3938.1 ,756898.8 ,213566.2 ,54.3 
DNK,2013,3943.9 ,758886.8 ,215529.2 ,56.1 
DNK,2014,3951.1 ,765393.4 ,219221.3 ,51.9 
DNK,2015,3995.3 ,772189.3 ,222314.8 ,49.4 
