firm,output,capital,labour
1,12.778,9.416,35.134
2,24.285,4.643,77.297
3,20.855,5.095,89.799
4,13.213,4.935,35.698
5,12.018,8.717,27.878
6,15.284,1.066,92.174
7,6.707,0.258,97.907
8,21.656,6.334,82.084
9,14.574,2.35,38.876
10,13.743,1.076,81.761
11,3.793,3.432,9.476
12,37.118,4.033,55.096
13,11.235,7.975,73.13
14,9.237,7.604,24.35
15,12.634,0.344,65.38
16,9.677,2.44,63.839
17,18.315,7.891,59.241
18,17.094,2.906,72.574
19,21.566,2.668,68.916
20,18.872,4.22,57.424
21,17.102,2.661,87.843
22,14.55,2.455,30.789
23,24.031,2.827,93.734
24,6.787,0.439,35.961
25,6.388,0.312,94.264
26,32.996,3.265,95.773
27,26.04,6.752,80.275
28,16.619,4.425,49.886
29,10.065,1.583,22.072
30,6.554,0.907,38.727
31,3.539,6.149,5.322
32,1.66,0.479,2.52
33,16.775,1.955,41.545
34,10.085,8.169,68.389
35,7.064,4.055,77.556
36,31.793,5.029,77.812
37,32.303,6.937,98.904
38,14.571,8.405,42.74
39,12.258,2.503,59.741
40,12.683,6.59,18.085
41,12.88,7.149,26.651
42,15.841,8.04,50.488
43,24.623,4.896,88.182
44,20.571,6.722,30.451
45,21.208,4.195,95.834
46,12.493,4.551,36.704
47,32.313,7.223,89.312
48,15.575,9.561,29.055
49,13.414,4.871,50.018
50,10.228,9.312,40.996
51,19.927,2.895,63.051
52,26.938,8.085,60.992
53,35.825,8.656,94.159
54,12.768,3.427,39.312
55,18.412,1.918,78.628
56,19.853,6.177,64.377
57,3.269,7.188,1.073
58,21.358,9.329,87.124
59,27.124,7.834,60.34
60,14.105,5.621,44.218
