OPEX,CAPEX,TOTEX,Energy,Length,Customers,PerUndGr
681,729,1612,75,878,4933,0.11
559,673,1659,62,964,6149,0.21
836,851,1708,78,676,6098,0.75
7559,8384,18918,683,12522,55226,0.13
424,562,1167,27,697,1670,0.03
1483,1587,3395,295,953,22949,0.65
658,570,1333,44,917,3599,0.11
1433,1311,3518,171,1580,11081,0.16
850,564,1415,98,116,377,1
1155,1108,2469,203,740,10134,0.64
14235,11594,28750,2203,7007,167239,0.61
44481,50321,117554,6600,67611,420473,0.23
1116,766,1925,117,436,7176,0.61
1604,946,2747,135,902,8614,0.46
27723,19818,48605,3601,6007,334757,0.92
2480,2420,5486,409,2773,14953,0.19
494,476,1091,43,506,3156,0.32
801,466,1297,61,541,4296,0.05
875,555,1691,62,1081,6044,0.07
2133,1913,4605,256,2540,23361,0.31
1139,1635,3102,197,1817,6071,0.05
907,1127,2260,200,1106,14936,0.49
120,106,341,17,133,772,0.06
3454,2428,6100,489,1312,44594,0.87
535,479,1440,53,789,3391,0.05
974,754,1958,95,971,6806,0.37
929,853,1976,75,869,5165,0.24
9842,13925,29722,985,25611,95367,0.09
548,412,1254,123,51,24,0.44
1456,1136,2665,165,875,14646,0.71
725,569,1376,73,716,5069,0.39
2525,388,3121,540,70,58,0.31
2002,1442,3864,300,1301,20325,0.47
1846,1112,3221,207,429,16878,0.73
982,1094,2561,99,1618,8566,0.2
2727,2151,5779,164,3330,12231,0.12
1799,2073,4380,171,3736,15217,0.06
604,675,1423,73,989,5711,0.25
400,430,907,40,646,2968,0.2
4092,3173,7915,482,3294,42952,0.4
3362,3078,6639,456,1375,48140,0.66
390,438,868,23,589,2227,0.18
10852,9366,25556,1233,12512,98650,0.13
688,700,1540,85,866,6022,0.36
761,701,1564,100,800,7193,0.4
453,576,1229,25,1078,3342,0.04
4076,4007,9807,494,4696,43911,0.29
308,297,669,17,432,1752,0.03
2746,2529,6097,315,4042,26265,0.2
5614,5509,12154,1042,4296,75870,0.6
400,519,1186,39,614,2211,0.01
1821,1753,4020,223,2117,12945,0.09
794,747,1589,98,418,5146,0.66
2269,2795,6414,348,2127,21072,0.37
711,556,1515,77,762,4513,0.16
4609,5342,10600,993,3205,80702,0.7
1766,2338,5431,402,3207,25994,0.13
813,666,1872,130,905,5394,0.19
884,1104,2206,138,1423,9015,0.26
1662,1358,3767,117,2532,9930,0.24
81,106,268,22,133,1467,0.22
11776,11864,28295,988,20934,84445,0.04
4021,3767,9689,749,3225,47572,0.53
2597,3224,7226,378,3567,30801,0.21
995,848,1871,95,340,7812,0.89
548,587,1280,43,977,4272,0.02
1573,1780,3539,237,882,19455,0.52
4129,4001,9853,440,6330,26798,0.22
2151,1450,3758,266,772,21662,0.83
2438,2496,5499,316,4117,22313,0.28
14064,15175,37368,1601,24485,106336,0.08
2058,1521,3735,268,928,19899,0.74
8643,6819,16141,1654,3567,124661,0.59
483,367,987,37,730,2611,0.08
1018,939,2067,158,822,10537,0.56
1593,2326,5105,196,3470,13391,0.09
7501,4734,12687,1141,2360,67456,0.62
305,411,861,19,520,1207,0.17
5426,6446,12831,787,5808,60239,0.41
2618,2795,6055,293,3741,23446,0.2
1033,951,2156,137,902,11654,0.39
6786,6638,13794,1281,3009,93769,0.75
2169,2172,5054,210,3693,17129,0.16
40787,45434,108310,4825,60659,378089,0.18
2741,2475,6162,310,3381,19059,0.16
307,225,594,28,351,2078,0.07
321,281,672,30,338,2008,0.32
300,289,616,15,318,1364,0.01
891,693,1776,105,575,9084,0.59
